sujeto_qid,entidad,relacion,valor,valor_es,valor_qid
Q131607828,Comunidad mapuche-tehuelche de Los Pinos de la Meseta Centro Norte de Chubut,país,Argentina,Argentina,Q414
Q131607826,Comunidad mapuche-tehuelche de Sierras de Huancache de la Meseta Centro Norte de Chubut,instancia de,pueblos originarios,pueblos originarios,Q9064330
Q131607827,comunidad mapuche-tehuelche Lefimi de la Meseta Centro Norte de Chubut,instancia de,pueblos originarios,pueblos originarios,Q9064330
Q131607830,comunidades de las Salinas Grandes y Laguna de Guayatayoc de Susques,instancia de,pueblos originarios,pueblos originarios,Q9064330
Q131607828,Comunidad mapuche-tehuelche de Los Pinos de la Meseta Centro Norte de Chubut,instancia de,pueblos originarios,pueblos originarios,Q9064330
Q131607826,Comunidad mapuche-tehuelche de Sierras de Huancache de la Meseta Centro Norte de Chubut,situado en la entidad territorial administrativa,Provincia de Chubut,Provincia de Chubut,Q45007
Q131607827,comunidad mapuche-tehuelche Lefimi de la Meseta Centro Norte de Chubut,situado en la entidad territorial administrativa,Provincia de Chubut,Provincia de Chubut,Q45007
Q131607830,comunidades de las Salinas Grandes y Laguna de Guayatayoc de Susques,situado en la entidad territorial administrativa,Provincia de Jujuy,Provincia de Jujuy,Q44764
Q131607828,Comunidad mapuche-tehuelche de Los Pinos de la Meseta Centro Norte de Chubut,situado en la entidad territorial administrativa,Provincia de Chubut,Provincia de Chubut,Q45007
Q5378170,Inglés argentino,forma parte de,diáspora inglesa,diáspora inglesa,Q20876931
Q5395673,Gauchos de Güemes,instancia de,etnia,etnia,Q41710
Q7232605,Portuguese Argentines,instancia de,etnia,etnia,Q41710
Q20506976,Armenians in Buenos Aires,subclase de,armenios,armenios,Q79797
Q118688981,Araukaner,instancia de,pueblo indígena,pueblo indígena,Q103817
Q131607814,comunidad originaria atacameños,instancia de,pueblo indígena,pueblo indígena,Q103817
Q95575559,Ucranianos en Argentina,país,Argentina,Argentina,Q414
Q6158111,Nipo-argentinos,instancia de,grupo étnico,grupo étnico,Q2531956
Q6158111,Nipo-argentinos,subclase de,Argentinos asiáticos,Argentinos asiáticos,Q4387376
Q131607818,comunidad mapuche-tehuelche de Laguna Fría y Chacay Oeste de la Meseta Centro Norte de Chubut,instancia de,pueblo indígena,pueblo indígena,Q103817
Q131607819,comunidad mapuche-tehuelche de Mallín de los Cual de la Meseta Centro Norte de Chubut,instancia de,pueblo indígena,pueblo indígena,Q103817
Q131607822,comunidad mapuche-tehuelche de Lagunita Salada-Cerro Bayo-Gorro Frigio de la Meseta Centro Norte de Chubut,instancia de,pueblo indígena,pueblo indígena,Q103817
Q131607823,comunidad mapuche-tehuelche de Taquetren de la Meseta Centro Norte de Chubut,instancia de,pueblo indígena,pueblo indígena,Q103817
Q131607820,comunidad mapuche-tehuelche de El Escorial de la Meseta Centro Norte de Chubut,instancia de,pueblo indígena,pueblo indígena,Q103817
Q131607826,Comunidad mapuche-tehuelche de Sierras de Huancache de la Meseta Centro Norte de Chubut,instancia de,pueblo indígena,pueblo indígena,Q103817
Q131607824,comunidad mapuche-tehuelche de Blancuntre-Yala-Laubat de la Meseta Centro Norte de Chubut,instancia de,pueblo indígena,pueblo indígena,Q103817
Q131607825,comunidad mapuche-tehuelche de El Mirador de la Meseta Centro Norte de Chubut,instancia de,pueblo indígena,pueblo indígena,Q103817
Q131607814,comunidad originaria atacameños,instancia de,Movimiento indígena,Movimiento indígena,Q96064756
Q12644479,Vejoz,forma parte de,Wichí,Wichí,Q1284276
Q131607818,comunidad mapuche-tehuelche de Laguna Fría y Chacay Oeste de la Meseta Centro Norte de Chubut,instancia de,Movimiento indígena,Movimiento indígena,Q96064756
Q131607819,comunidad mapuche-tehuelche de Mallín de los Cual de la Meseta Centro Norte de Chubut,instancia de,Movimiento indígena,Movimiento indígena,Q96064756
Q6905148,Inmigración montenegrina en Argentina,instancia de,etnia,etnia,Q41710
Q118688981,Araukaner,país,Argentina,Argentina,Q414
Q118688981,Araukaner,país,Chile,Chile,Q298
Q131607822,comunidad mapuche-tehuelche de Lagunita Salada-Cerro Bayo-Gorro Frigio de la Meseta Centro Norte de Chubut,instancia de,Movimiento indígena,Movimiento indígena,Q96064756
Q131607814,comunidad originaria atacameños,país,Argentina,Argentina,Q414
Q6158111,Nipo-argentinos,país,Argentina,Argentina,Q414
Q131607823,comunidad mapuche-tehuelche de Taquetren de la Meseta Centro Norte de Chubut,instancia de,Movimiento indígena,Movimiento indígena,Q96064756
Q131607820,comunidad mapuche-tehuelche de El Escorial de la Meseta Centro Norte de Chubut,instancia de,Movimiento indígena,Movimiento indígena,Q96064756
Q131607818,comunidad mapuche-tehuelche de Laguna Fría y Chacay Oeste de la Meseta Centro Norte de Chubut,país,Argentina,Argentina,Q414
Q131607819,comunidad mapuche-tehuelche de Mallín de los Cual de la Meseta Centro Norte de Chubut,país,Argentina,Argentina,Q414
Q131607824,comunidad mapuche-tehuelche de Blancuntre-Yala-Laubat de la Meseta Centro Norte de Chubut,instancia de,Movimiento indígena,Movimiento indígena,Q96064756
Q131607825,comunidad mapuche-tehuelche de El Mirador de la Meseta Centro Norte de Chubut,instancia de,Movimiento indígena,Movimiento indígena,Q96064756
Q95575559,Ucranianos en Argentina,instancia de,comunidad étnica,comunidad étnica,Q25380035
Q131607822,comunidad mapuche-tehuelche de Lagunita Salada-Cerro Bayo-Gorro Frigio de la Meseta Centro Norte de Chubut,país,Argentina,Argentina,Q414
Q12644479,Vejoz,instancia de,tribu,tribu,Q133311
Q131607823,comunidad mapuche-tehuelche de Taquetren de la Meseta Centro Norte de Chubut,país,Argentina,Argentina,Q414
Q131607820,comunidad mapuche-tehuelche de El Escorial de la Meseta Centro Norte de Chubut,país,Argentina,Argentina,Q414
Q20506976,Armenians in Buenos Aires,subclase de,Armenios en Argentina,Armenios en Argentina,Q2972784
Q131607826,Comunidad mapuche-tehuelche de Sierras de Huancache de la Meseta Centro Norte de Chubut,país,Argentina,Argentina,Q414
Q6147003,timbú,país,Argentina,Argentina,Q414
Q28502263,Acapianta,instancia de,tribu,tribu,Q133311
Q131607824,comunidad mapuche-tehuelche de Blancuntre-Yala-Laubat de la Meseta Centro Norte de Chubut,país,Argentina,Argentina,Q414
Q8344747,Chanás,país,Argentina,Argentina,Q414
Q131607825,comunidad mapuche-tehuelche de El Mirador de la Meseta Centro Norte de Chubut,país,Argentina,Argentina,Q414
Q8344747,Chanás,país,Uruguay,Uruguay,Q77
Q131607814,comunidad originaria atacameños,instancia de,pueblos originarios,pueblos originarios,Q9064330
Q11689928,Lule,país,Argentina,Argentina,Q414
Q131607818,comunidad mapuche-tehuelche de Laguna Fría y Chacay Oeste de la Meseta Centro Norte de Chubut,instancia de,pueblos originarios,pueblos originarios,Q9064330
Q131607819,comunidad mapuche-tehuelche de Mallín de los Cual de la Meseta Centro Norte de Chubut,instancia de,pueblos originarios,pueblos originarios,Q9064330
Q131607822,comunidad mapuche-tehuelche de Lagunita Salada-Cerro Bayo-Gorro Frigio de la Meseta Centro Norte de Chubut,instancia de,pueblos originarios,pueblos originarios,Q9064330
Q5378170,Inglés argentino,instancia de,etnia,etnia,Q41710
Q131607823,comunidad mapuche-tehuelche de Taquetren de la Meseta Centro Norte de Chubut,instancia de,pueblos originarios,pueblos originarios,Q9064330
Q131607820,comunidad mapuche-tehuelche de El Escorial de la Meseta Centro Norte de Chubut,instancia de,pueblos originarios,pueblos originarios,Q9064330
Q131607824,comunidad mapuche-tehuelche de Blancuntre-Yala-Laubat de la Meseta Centro Norte de Chubut,instancia de,pueblos originarios,pueblos originarios,Q9064330
Q12644479,Vejoz,país,Argentina,Argentina,Q414
Q12644479,Vejoz,país,Bolivia,Bolivia,Q750
Q131607825,comunidad mapuche-tehuelche de El Mirador de la Meseta Centro Norte de Chubut,instancia de,pueblos originarios,pueblos originarios,Q9064330
Q5645960,católicos-irlandeses,subclase de,irlandeses,irlandeses,Q170826
Q20506976,Armenians in Buenos Aires,país,Argentina,Argentina,Q414
Q28502263,Acapianta,país,Argentina,Argentina,Q414
Q6905148,Inmigración montenegrina en Argentina,forma parte de,Montenegrin diaspora,Montenegrin diaspora,Q123808030
Q6158111,Nipo-argentinos,instancia de,etnia,etnia,Q41710
Q7232605,Portuguese Argentines,forma parte de,diáspora portuguesa,diáspora portuguesa,Q3026388
Q9093719,pueblo vilela,instancia de,grupo humano aislado,grupo humano aislado,Q3117863
Q7232605,Portuguese Argentines,subclase de,Argentinos de ascendencia europea,Argentinos de ascendencia europea,Q4789496
Q9093719,pueblo vilela,país,Argentina,Argentina,Q414
Q6147003,timbú,instancia de,etnia,etnia,Q41710
Q6905148,Inmigración montenegrina en Argentina,instancia de,diáspora o inmigración según país de origen y destino,diáspora o inmigración según país de origen y destino,Q117430967
Q8344747,Chanás,instancia de,etnia,etnia,Q41710
Q5395673,Gauchos de Güemes,país,Argentina,Argentina,Q414
Q20506976,Armenians in Buenos Aires,instancia de,comunidad étnica,comunidad étnica,Q25380035
Q11689928,Lule,instancia de,etnia,etnia,Q41710
Q7232605,Portuguese Argentines,país,Argentina,Argentina,Q414
Q6905148,Inmigración montenegrina en Argentina,instancia de,grupo étnico,grupo étnico,Q2531956
Q131607814,comunidad originaria atacameños,situado en la entidad territorial administrativa,Provincia de Catamarca,Provincia de Catamarca,Q44756
Q20506976,Armenians in Buenos Aires,situado en la entidad territorial administrativa,Buenos Aires,Buenos Aires,Q1486
Q131607818,comunidad mapuche-tehuelche de Laguna Fría y Chacay Oeste de la Meseta Centro Norte de Chubut,situado en la entidad territorial administrativa,Provincia de Chubut,Provincia de Chubut,Q45007
Q131607819,comunidad mapuche-tehuelche de Mallín de los Cual de la Meseta Centro Norte de Chubut,situado en la entidad territorial administrativa,Provincia de Chubut,Provincia de Chubut,Q45007
Q95575559,Ucranianos en Argentina,subclase de,Inmigración ucraniana en Argentina,Inmigración ucraniana en Argentina,Q1976275
Q131607822,comunidad mapuche-tehuelche de Lagunita Salada-Cerro Bayo-Gorro Frigio de la Meseta Centro Norte de Chubut,situado en la entidad territorial administrativa,Provincia de Chubut,Provincia de Chubut,Q45007
Q131607823,comunidad mapuche-tehuelche de Taquetren de la Meseta Centro Norte de Chubut,situado en la entidad territorial administrativa,Provincia de Chubut,Provincia de Chubut,Q45007
Q131607820,comunidad mapuche-tehuelche de El Escorial de la Meseta Centro Norte de Chubut,situado en la entidad territorial administrativa,Provincia de Chubut,Provincia de Chubut,Q45007
Q5645960,católicos-irlandeses,subclase de,católico latino,católico latino,Q7361618
Q131607824,comunidad mapuche-tehuelche de Blancuntre-Yala-Laubat de la Meseta Centro Norte de Chubut,situado en la entidad territorial administrativa,Provincia de Chubut,Provincia de Chubut,Q45007
Q131607825,comunidad mapuche-tehuelche de El Mirador de la Meseta Centro Norte de Chubut,situado en la entidad territorial administrativa,Provincia de Chubut,Provincia de Chubut,Q45007
Q6905148,Inmigración montenegrina en Argentina,país,Argentina,Argentina,Q414
Q5645960,católicos-irlandeses,instancia de,grupo etnorreligioso,grupo etnorreligioso,Q11197007
Q5645960,católicos-irlandeses,país,Estados Unidos,Estados Unidos,Q30
Q5645960,católicos-irlandeses,país,Argentina,Argentina,Q414
Q5645960,católicos-irlandeses,país,Australia,Australia,Q408
Q5645960,católicos-irlandeses,país,Nueva Zelanda,Nueva Zelanda,Q664
Q5645960,católicos-irlandeses,país,Francia,Francia,Q142
Q5645960,católicos-irlandeses,país,Reino Unido,Reino Unido,Q145
Q5645960,católicos-irlandeses,país,Canadá,Canadá,Q16
Q5645960,católicos-irlandeses,país,Irlanda,Irlanda,Q27
Q118688981,Araukaner,subclase de,pueblos indígenas de Sudamérica,pueblos indígenas de Sudamérica,Q1479328
Q9093719,pueblo vilela,instancia de,etnia,etnia,Q41710
Q5378170,Inglés argentino,subclase de,Argentinos de ascendencia europea,Argentinos de ascendencia europea,Q4789496
Q6158111,Nipo-argentinos,forma parte de,diáspora japonesa,diáspora japonesa,Q1373538
Q572484,yaminahua,nombre en la lengua nativa,Yaminawá,Yaminawá,
Q50001,italianos,nombre en la lengua nativa,italiani,italiani,
Q1102274,Yawanawa,país,Bolivia,Bolivia,Q750
Q1102274,Yawanawa,país,Perú,Perú,Q419
Q1102274,Yawanawa,país,Brasil,Brasil,Q155
Q508292,afroperuano,forma parte de,afrolatinoamericano,afrolatinoamericano,Q3036435
Q1108006,napuruna,instancia de,pueblos indígenas de Ecuador,pueblos indígenas de Ecuador,Q3091608
Q508292,afroperuano,forma parte de,diáspora africana,diáspora africana,Q385967
Q397948,Awajun,instancia de,etnia,etnia,Q41710
Q572484,yaminahua,instancia de,pueblo indígena,pueblo indígena,Q103817
Q50001,italianos,subclase de,pueblos latinos,pueblos latinos,Q3157225
Q50001,italianos,instancia de,pueblo,pueblo,Q2472587
Q508292,afroperuano,país,Perú,Perú,Q419
Q50001,italianos,forma parte de,pueblos latinos,pueblos latinos,Q3157225
Q1102274,Yawanawa,país de origen,Bolivia,Bolivia,Q750
Q1102274,Yawanawa,país de origen,Perú,Perú,Q419
Q1102274,Yawanawa,país de origen,Brasil,Brasil,Q155
Q572484,yaminahua,instancia de,Pueblos indígenas de Brasil,Pueblos indígenas de Brasil,Q1363781
Q1882676,Machineris,país,Perú,Perú,Q419
Q1882676,Machineris,país,Brasil,Brasil,Q155
Q397903,aguano,país,Perú,Perú,Q419
Q572484,yaminahua,país,Bolivia,Bolivia,Q750
Q572484,yaminahua,país,Perú,Perú,Q419
Q572484,yaminahua,país,Brasil,Brasil,Q155
Q906918,inmigración peruana en Japón,instancia de,etnia,etnia,Q41710
Q1108006,napuruna,instancia de,etnia,etnia,Q41710
Q746915,Huanca,instancia de,etnia,etnia,Q41710
Q50001,italianos,país,Mónaco,Mónaco,Q235
Q50001,italianos,país,Rumania,Rumania,Q218
Q50001,italianos,país,Suiza,Suiza,Q39
Q50001,italianos,país,Estados Unidos,Estados Unidos,Q30
Q50001,italianos,país,España,España,Q29
Q1335017,Emberá,país,Colombia,Colombia,Q739
Q1335017,Emberá,país,Panamá,Panamá,Q804
Q1335017,Emberá,país,Perú,Perú,Q419
Q50001,italianos,país,Argentina,Argentina,Q414
Q50001,italianos,país,Chile,Chile,Q298
Q50001,italianos,país,Ecuador,Ecuador,Q736
Q50001,italianos,país,Paraguay,Paraguay,Q733
Q50001,italianos,país,Venezuela,Venezuela,Q717
Q50001,italianos,país,Australia,Australia,Q408
Q50001,italianos,país,Perú,Perú,Q419
Q50001,italianos,país,Sudáfrica,Sudáfrica,Q258
Q50001,italianos,país,Alemania,Alemania,Q183
Q50001,italianos,país,Italia,Italia,Q38
Q50001,italianos,país,Francia,Francia,Q142
Q50001,italianos,país,Reino Unido,Reino Unido,Q145
Q50001,italianos,país,Rusia,Rusia,Q159
Q50001,italianos,país,Uruguay,Uruguay,Q77
Q50001,italianos,país,Brasil,Brasil,Q155
Q50001,italianos,país,Canadá,Canadá,Q16
Q50001,italianos,país,Bélgica,Bélgica,Q31
Q50001,italianos,país,Luxemburgo,Luxemburgo,Q32
Q50001,italianos,país,Croacia,Croacia,Q224
Q572484,yaminahua,instancia de,pueblos indígenas del Perú,pueblos indígenas del Perú,Q3557982
Q50001,italianos,país,México,México,Q96
Q726665,asháninca,subclase de,Pueblos indígenas de Brasil,Pueblos indígenas de Brasil,Q1363781
Q50001,italianos,subclase de,habitante,habitante,Q22947
Q50001,italianos,nativo de,Italia,Italia,Q38
Q572484,yaminahua,país de origen,Bolivia,Bolivia,Q750
Q572484,yaminahua,país de origen,Perú,Perú,Q419
Q572484,yaminahua,país de origen,Brasil,Brasil,Q155
Q572484,yaminahua,instancia de,Composición étnica de Bolivia,Composición étnica de Bolivia,Q6091085
Q1102274,Yawanawa,situado en la entidad territorial administrativa,Acre,Acre,Q40780
Q605340,Cultura huari,instancia de,cultura arqueológica,cultura arqueológica,Q465299
Q1552656,Guallas,país,Perú,Perú,Q419
Q605340,Cultura huari,país,Perú,Perú,Q419
Q508292,afroperuano,instancia de,etnia,etnia,Q41710
Q726665,asháninca,instancia de,pueblo indígena,pueblo indígena,Q103817
Q948636,Yagua,país,Colombia,Colombia,Q739
Q948636,Yagua,país,Perú,Perú,Q419
Q397903,aguano,instancia de,etnia,etnia,Q41710
Q746915,Huanca,idioma oficial,quechua huanca,quechua huanca,Q36960
Q792795,Ayarmaca,país,Perú,Perú,Q419
Q36411,shipibo-conibo,país,Perú,Perú,Q419
Q1102274,Yawanawa,nombre en la lengua nativa,Yawanawá,Yawanawá,
Q50001,italianos,subclase de,europeos occidentales,europeos occidentales,Q101094841
Q1335017,Emberá,instancia de,etnia,etnia,Q41710
Q50001,italianos,instancia de,etnia,etnia,Q41710
Q50001,italianos,instancia de,población humana,población humana,Q33829
Q726665,asháninca,nombre en la lengua nativa,Ashaninka,Ashaninka,
Q50001,italianos,idioma oficial,italiano,italiano,Q652
Q726665,asháninca,país,Perú,Perú,Q419
Q726665,asháninca,país,Brasil,Brasil,Q155
Q605340,Cultura huari,instancia de,comunidad étnica,comunidad étnica,Q25380035
Q397948,Awajun,país,Ecuador,Ecuador,Q736
Q397948,Awajun,país,Perú,Perú,Q419
Q508292,afroperuano,subclase de,peruanos,peruanos,Q4359289
Q1552656,Guallas,instancia de,etnia,etnia,Q41710
Q726665,asháninca,país de origen,Perú,Perú,Q419
Q726665,asháninca,país de origen,Brasil,Brasil,Q155
Q1102274,Yawanawa,instancia de,pueblo indígena,pueblo indígena,Q103817
Q948636,Yagua,instancia de,etnia,etnia,Q41710
Q792795,Ayarmaca,instancia de,etnia,etnia,Q41710
Q36411,shipibo-conibo,instancia de,etnia,etnia,Q41710
Q1335017,Emberá,subclase de,Embera-Wounaan,Embera-Wounaan,Q3058858
Q906918,inmigración peruana en Japón,país,Perú,Perú,Q419
Q1108006,napuruna,país,Ecuador,Ecuador,Q736
Q1108006,napuruna,país,Perú,Perú,Q419
Q746915,Huanca,país,Perú,Perú,Q419
Q1882676,Machineris,nombre en la lengua nativa,Manchineri,Manchineri,
Q2566194,achual,instancia de,pueblos indígenas de Ecuador,pueblos indígenas de Ecuador,Q3091608
Q2795516,Tusán,instancia de,etnia,etnia,Q41710
Q3515258,taushiro,instancia de,etnia,etnia,Q41710
Q3274441,Nipo-peruano,forma parte de,diáspora japonesa,diáspora japonesa,Q1373538
Q4806719,Inmigración asiática en el Perú,instancia de,etnia,etnia,Q41710
Q2520137,bora,país,Colombia,Colombia,Q739
Q2520137,bora,país,Perú,Perú,Q419
Q2520137,bora,país,Brasil,Brasil,Q155
Q1882676,Machineris,instancia de,pueblo indígena,pueblo indígena,Q103817
Q2528564,yora,instancia de,etnia,etnia,Q41710
Q4359289,peruanos,país,Perú,Perú,Q419
Q3507494,Madijas,nombre en la lengua nativa,Kulina,Kulina,
Q5358897,aents,país,Perú,Perú,Q419
Q3274441,Nipo-peruano,instancia de,grupo étnico,grupo étnico,Q2531956
Q3507494,Madijas,país,Perú,Perú,Q419
Q3507494,Madijas,país,Brasil,Brasil,Q155
Q4359289,peruanos,subclase de,habitante,habitante,Q22947
Q3274441,Nipo-peruano,subclase de,Inmigración asiática en el Perú,Inmigración asiática en el Perú,Q4806719
Q4120516,huambisa,país,Perú,Perú,Q419
Q4806719,Inmigración asiática en el Perú,forma parte de,Asian diaspora,Asian diaspora,Q112964467
Q1882676,Machineris,país,Bolivia,Bolivia,Q750
Q5358897,aents,instancia de,pueblos indígenas del Perú,pueblos indígenas del Perú,Q3557982
Q2889720,Inmigración judía en el Perú,instancia de,etnia,etnia,Q41710
Q4359289,peruanos,país de origen,Perú,Perú,Q419
Q2566194,achual,instancia de,etnia,etnia,Q41710
Q3661759,Kakataibo,país,Perú,Perú,Q419
Q3274441,Nipo-peruano,país,Perú,Perú,Q419
Q3507494,Madijas,país de origen,Perú,Perú,Q419
Q3507494,Madijas,país de origen,Brasil,Brasil,Q155
Q3804367,Inmigración italiana en el Perú,instancia de,migración humana,migración humana,Q177626
Q3804367,Inmigración italiana en el Perú,país,Perú,Perú,Q419
Q4359289,peruanos,situado en la entidad territorial administrativa,Perú,Perú,Q419
Q2520137,bora,instancia de,etnia,etnia,Q41710
Q1882676,Machineris,país de origen,Bolivia,Bolivia,Q750
Q1882676,Machineris,país de origen,Perú,Perú,Q419
Q1882676,Machineris,país de origen,Brasil,Brasil,Q155
Q2887850,ese'ejja,país,Bolivia,Bolivia,Q750
Q2887850,ese'ejja,país,Perú,Perú,Q419
Q4359289,peruanos,instancia de,población humana,población humana,Q33829
Q3515254,capanahua,país,Perú,Perú,Q419
Q5358897,aents,instancia de,etnia,etnia,Q41710
Q5104388,cholones,situado en la entidad territorial administrativa,Tingo María,Tingo María,Q1974467
Q2887850,ese'ejja,instancia de,pueblos indígenas del Perú,pueblos indígenas del Perú,Q3557982
Q5104388,cholones,país,Perú,Perú,Q419
Q4120516,huambisa,instancia de,etnia,etnia,Q41710
Q4970606,Inmigración británica en el Perú,forma parte de,British Latin American,British Latin American,Q4970234
Q3696210,harakmbet,país,Perú,Perú,Q419
Q2779134,aido pai,país,Ecuador,Ecuador,Q736
Q2779134,aido pai,país,Perú,Perú,Q419
Q2795516,Tusán,instancia de,grupo étnico,grupo étnico,Q2531956
Q1995859,nomatsiguenga,país,Perú,Perú,Q419
Q1882676,Machineris,instancia de,etnia,etnia,Q41710
Q2795516,Tusán,subclase de,Inmigración asiática en el Perú,Inmigración asiática en el Perú,Q4806719
Q4806719,Inmigración asiática en el Perú,instancia de,grupo étnico,grupo étnico,Q2531956
Q3348587,ocaina,país,Colombia,Colombia,Q739
Q3348587,ocaina,país,Perú,Perú,Q419
Q2708837,mayoruna,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3850712,mashco piro,país,Perú,Perú,Q419
Q2887850,ese'ejja,instancia de,Composición étnica de Bolivia,Composición étnica de Bolivia,Q6091085
Q4806719,Inmigración asiática en el Perú,subclase de,Latinoamericanos asiáticos,Latinoamericanos asiáticos,Q4806687
Q4970606,Inmigración británica en el Perú,instancia de,migración humana,migración humana,Q177626
Q4970606,Inmigración británica en el Perú,país,Perú,Perú,Q419
Q3661759,Kakataibo,instancia de,etnia,etnia,Q41710
Q3274441,Nipo-peruano,instancia de,etnia,etnia,Q41710
Q3804367,Inmigración italiana en el Perú,instancia de,etnia,etnia,Q41710
Q4740888,Amazonian Kichwas,país,Colombia,Colombia,Q739
Q4740888,Amazonian Kichwas,país,Ecuador,Ecuador,Q736
Q4740888,Amazonian Kichwas,país,Perú,Perú,Q419
Q2795516,Tusán,forma parte de,diáspora china,diáspora china,Q779191
Q4359289,peruanos,subclase de,americanos,americanos,Q2384959
Q2795516,Tusán,país,Perú,Perú,Q419
Q3515258,taushiro,país,Perú,Perú,Q419
Q4806719,Inmigración asiática en el Perú,país,Perú,Perú,Q419
Q4359289,peruanos,subclase de,sudamericanos,sudamericanos,Q10374742
Q2887850,ese'ejja,instancia de,etnia,etnia,Q41710
Q2708837,mayoruna,país,Perú,Perú,Q419
Q2708837,mayoruna,país,Brasil,Brasil,Q155
Q2528564,yora,país,Perú,Perú,Q419
Q2528564,yora,país,Brasil,Brasil,Q155
Q3515254,capanahua,instancia de,etnia,etnia,Q41710
Q2708837,mayoruna,nombre en la lengua nativa,Matsés,Matsés,
Q5104388,cholones,instancia de,etnia,etnia,Q41710
Q3696210,harakmbet,instancia de,etnia,etnia,Q41710
Q2779134,aido pai,instancia de,etnia,etnia,Q41710
Q1995859,nomatsiguenga,instancia de,etnia,etnia,Q41710
Q2889720,Inmigración judía en el Perú,instancia de,migración humana,migración humana,Q177626
Q2520137,bora,instancia de,pueblo indígena,pueblo indígena,Q103817
Q2708837,mayoruna,país de origen,Perú,Perú,Q419
Q2708837,mayoruna,país de origen,Brasil,Brasil,Q155
Q3348587,ocaina,instancia de,etnia,etnia,Q41710
Q3850712,mashco piro,instancia de,etnia,etnia,Q41710
Q2889720,Inmigración judía en el Perú,país,Perú,Perú,Q419
Q4359289,peruanos,instancia de,nacionalidad,nacionalidad,Q231002
Q4359289,peruanos,subclase de,Latinoamericanos,Latinoamericanos,Q16799549
Q2566194,achual,país,Ecuador,Ecuador,Q736
Q2566194,achual,país,Perú,Perú,Q419
Q4970606,Inmigración británica en el Perú,instancia de,etnia,etnia,Q41710
Q4740888,Amazonian Kichwas,instancia de,etnia,etnia,Q41710
Q3507494,Madijas,instancia de,pueblo indígena,pueblo indígena,Q103817
Q125815910,San Cristobal,instancia de,comunidad,comunidad,Q177634
Q124989804,Tarama,instancia de,etnia,etnia,Q41710
Q125815910,San Cristobal,instancia de,pueblo indígena,pueblo indígena,Q103817
Q125815910,San Cristobal,instancia de,localidad,localidad,Q3257686
Q125815910,San Cristobal,situado en la entidad territorial administrativa,Provincia de Satipo,Provincia de Satipo,Q1335384
Q125815910,San Cristobal,situado en la entidad territorial administrativa,Departamento de Junín,Departamento de Junín,Q207973
Q125815910,San Cristobal,país,Perú,Perú,Q419
Q131607844,"Asociación de mujeres en defensa de la vida de Tragadero Grande, Cajamarca",instancia de,pueblo indígena,pueblo indígena,Q103817
Q131607844,"Asociación de mujeres en defensa de la vida de Tragadero Grande, Cajamarca",instancia de,movimiento de mujeres indígenas,movimiento de mujeres indígenas,Q131607149
Q106327733,فلسطينيو البيرو,país,Perú,Perú,Q419
Q125815910,San Cristobal,situado en la entidad territorial administrativa,Distrito de Mazamari,Distrito de Mazamari,Q6319861
Q91936508,Wari women brewers,subclase de,women in brewing,women in brewing,Q28209481
Q131607844,"Asociación de mujeres en defensa de la vida de Tragadero Grande, Cajamarca",situado en la entidad territorial administrativa,Departamento de Cajamarca,Departamento de Cajamarca,Q205078
Q131607844,"Asociación de mujeres en defensa de la vida de Tragadero Grande, Cajamarca",país,Perú,Perú,Q419
Q131607844,"Asociación de mujeres en defensa de la vida de Tragadero Grande, Cajamarca",instancia de,pueblos originarios,pueblos originarios,Q9064330
Q91936508,Wari women brewers,instancia de,comunidad étnica,comunidad étnica,Q25380035
Q124989804,Tarama,situado en la entidad territorial administrativa,Tarma,Tarma,Q946269
Q106327733,فلسطينيو البيرو,instancia de,etnia,etnia,Q41710
Q124989804,Tarama,país,Perú,Perú,Q419
Q12627320,Atavillo,forma parte de,http://www.wikidata.org/.well-known/genid/a6872a600a2f9a516391ddf3c4c7a0cb,http://www.wikidata.org/.well-known/genid/a6872a600a2f9a516391ddf3c4c7a0cb,
Q17084690,Inmigración peruana en Uruguay,subclase de,uruguayos,uruguayos,Q7901501
Q5361344,jebero,país,Perú,Perú,Q419
Q12627430,Ayavaca,instancia de,tribu,tribu,Q133311
Q12632724,huamachucos,país,Perú,Perú,Q419
Q5359368,campo piyapi,nativo de,Departamento de Loreto,Departamento de Loreto,Q200938
Q5916631,Inmigración portuguesa en el Perú,país,Perú,Perú,Q419
Q5501869,Inmigración francesa al Perú,país,Perú,Perú,Q419
Q6116861,Sahuasiray (etnia),instancia de,etnia,etnia,Q41710
Q5361207,icahuate,país,Perú,Perú,Q419
Q5363631,ticuna,instancia de,pueblo indígena,pueblo indígena,Q103817
Q7171214,Inmigración de europeos del este en el Perú,país,Perú,Perú,Q419
Q28501203,Mastanahua,país,Perú,Perú,Q419
Q12641160,Resígaro,instancia de,etnia,etnia,Q41710
Q30916057,Abacaris,país,Perú,Perú,Q419
Q48784354,Chitonahua,país,Perú,Perú,Q419
Q7573269,Inmigración española en el Perú,instancia de,etnia,etnia,Q41710
Q6432069,Inmigración coreana en el Perú,instancia de,etnia,etnia,Q41710
Q12630633,Epetineri,instancia de,tribu,tribu,Q133311
Q12627430,Ayavaca,país,Perú,Perú,Q419
Q5359586,cashinahua,instancia de,etnia,etnia,Q41710
Q12630633,Epetineri,forma parte de,capanahua,capanahua,Q3515254
Q5363631,ticuna,país,Colombia,Colombia,Q739
